prod1_1,category,sbu_name,statename,company_name,distname,prod2,comname,psu_pvt,statecode,orgrocd,dist,productname_org,total,distcode,comcode,code,productcode,zone_name,region_name,newcode,fiscal_year,coname,month_name,netweight_tmt,com_type,productname,prod1,entity_id,updated_at,created_at,ro
LPG-PKD ND,,LPG,MADHYA PRADESH,MPSU,ANUPUR,LPG,IOCL,PSU,MP,14,ANUPUR,LPG 5 KG FTL Refill,0.27,MP05,1060,LPGMP05,10524,NWZ,WEST,MP05,2022-2023,IOCL,JUN,0,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,JABALPUR
LPG-PKD ND,,LPG,MADHYA PRADESH,MPSU,BHIND,LPG,IOCL,PSU,MP,14,BHIND,LPG 5 KG FTL Refill,2.94,MP08,1060,LPGMP08,10524,NWZ,WEST,MP08,2022-2023,IOCL,JUN,0.1,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,JABALPUR
LPG-PKD ND,,LPG,UTTARAKHAND,MPSU,ALMORA,LPG,BPCL,PSU,UK,11,ALMORA,LPG 5 KG FTL Refill,2.625,UK02,1020,LPGUK02,10524,NZ,NORTH,UK02,2022-2023,BPCL,JUN,0.4,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,BAREILLY
LPG-PKD ND,,LPG,GUJARAT,MPSU,DEVBHUMI DWARKA,LPG,BPCL,PSU,GJ,14,DEVBHUMI DWARKA,LPG 5 KG FTL Refill,0.405,GJ14,1020,LPGGJ14,10524,NWZ,WEST,GJ14,2022-2023,BPCL,JUN,0.025,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,AHMEDABAD
LPG-PKD ND,,LPG,MADHYA PRADESH,MPSU,BALAGHAT,LPG,IOCL,PSU,MP,14,BALAGHAT,LPG 5 KG FTL Refill,0.54,MP02,1060,LPGMP02,10524,NWZ,WEST,MP02,2022-2023,IOCL,JUN,0,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,JABALPUR
LPG-PKD ND,,LPG,MAHARASHTRA,MPSU,WASHIM,LPG,IOCL,PSU,MH,14,WASHIM,LPG 5 KG FTL Refill,4.632,MH54,1060,LPGMH54,10524,WZ,WEST,MH54,2022-2023,IOCL,JUN,0.4,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,NAGPUR
LPG-PKD ND,,LPG,MAHARASHTRA,MPSU,PARBHANI,LPG,IOCL,PSU,MH,14,PARBHANI,LPG 5 KG FTL Refill,1.885,MH36,1060,LPGMH36,10524,WZ,WEST,MH36,2022-2023,IOCL,JUN,0,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,SOLAPUR
LPG-PKD ND,,LPG,RAJASTHAN,MPSU,SIROHI,LPG,BPCL,PSU,RJ,11,SIROHI,LPG 5 KG FTL Refill,1.65,RJ48,1020,LPGRJ48,10524,NWZ,NORTH,RJ48,2022-2023,BPCL,JUN,0.2,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,JODHPUR
LPG-PKD ND,,LPG,MAHARASHTRA,MPSU,SHOLAPUR,LPG,IOCL,PSU,MH,14,SHOLAPUR,LPG 5 KG FTL Refill,0.86,MH46,1060,LPGMH46,10524,WZ,WEST,MH46,2022-2023,IOCL,JUN,0,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,SOLAPUR
LPG-PKD ND,,LPG,MAHARASHTRA,MPSU,SATARA,LPG,IOCL,PSU,MH,14,SATARA,LPG 5 KG FTL Refill,5.62,MH44,1060,LPGMH44,10524,WZ,WEST,MH44,2022-2023,IOCL,JUN,0.505,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,PUNE
LPG-PKD ND,,LPG,MAHARASHTRA,MPSU,RATNAGIRI,LPG,IOCL,PSU,MH,14,RATNAGIRI,LPG 5 KG FTL Refill,1.375,MH40,1060,LPGMH40,10524,WZ,WEST,MH40,2022-2023,IOCL,JUN,0.425,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,PUNE
LPG-PKD ND,,LPG,RAJASTHAN,MPSU,TONK,LPG,BPCL,PSU,RJ,11,TONK,LPG 5 KG FTL Refill,2.405,RJ50,1020,LPGRJ50,10524,NWZ,NORTH,RJ50,2022-2023,BPCL,JUN,0.025,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,JAIPUR
LPG-PKD ND,,LPG,MAHARASHTRA,MPSU,OSMANABAD,LPG,IOCL,PSU,MH,14,OSMANABAD,LPG 5 KG FTL Refill,1.695,MH34,1060,LPGMH34,10524,WZ,WEST,MH34,2022-2023,IOCL,JUN,0,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,SOLAPUR
LPG-PKD ND,,LPG,MAHARASHTRA,MPSU,KOLHAPUR,LPG,IOCL,PSU,MH,14,KOLHAPUR,LPG 5 KG FTL Refill,8.818,MH26,1060,LPGMH26,10524,WZ,WEST,MH26,2022-2023,IOCL,JUN,1.385,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,GOA
LPG-PKD ND,,LPG,RAJASTHAN,MPSU,SAWAIMADHOPUR,LPG,BPCL,PSU,RJ,11,SAWAIMADHOPUR,LPG 5 KG FTL Refill,0.39,RJ44,1020,LPGRJ44,10524,NWZ,NORTH,RJ44,2022-2023,BPCL,JUN,0,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,JAIPUR
LPG-PKD ND,,LPG,MAHARASHTRA,MPSU,CHANDRAPUR,LPG,IOCL,PSU,MH,14,CHANDRAPUR,LPG 5 KG FTL Refill,14.28,MH16,1060,LPGMH16,10524,WZ,WEST,MH16,2022-2023,IOCL,JUN,1.04,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,NAGPUR
LPG-PKD ND,,LPG,GUJARAT,MPSU,GANDHINAGAR,LPG,BPCL,PSU,GJ,14,GANDHINAGAR,LPG 5 KG FTL Refill,2.69,GJ18,1020,LPGGJ18,10524,NWZ,WEST,GJ18,2022-2023,BPCL,JUN,0.1,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,AHMEDABAD
LPG-PKD ND,,LPG,GUJARAT,MPSU,MORBI,LPG,BPCL,PSU,GJ,14,MORBI,LPG 5 KG FTL Refill,14.915,GJ19,1020,LPGGJ19,10524,NWZ,WEST,GJ19,2022-2023,BPCL,JUN,0.8,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,AHMEDABAD
LPG-PKD ND,,LPG,RAJASTHAN,MPSU,PALI,LPG,BPCL,PSU,RJ,11,PALI,LPG 5 KG FTL Refill,1.835,RJ42,1020,LPGRJ42,10524,NWZ,NORTH,RJ42,2022-2023,BPCL,JUN,0.05,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,JODHPUR
